[2013-11-10 12:44:59] EDIT BookSharing/views/default/library.html: 2
[2013-11-10 12:45:11] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:46:53] EDIT BookSharing/models/db.py: -4
[2013-11-10 12:48:18] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:50:53] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:54:12] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 12:54:34] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 13:12:43] EDIT BookSharing/views/default/home.html: 1
[2013-11-10 13:16:32] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 13:17:20] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 13:17:54] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 13:18:19] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 13:22:05] EDIT BookSharing/views/default/home.html: 1
[2013-11-10 13:22:16] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 13:22:29] EDIT BookSharing/views/default/home.html: -1
[2013-11-10 13:23:53] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 13:24:35] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 13:25:57] EDIT BookSharing/views/default/home.html: -1
[2013-11-10 13:30:15] EDIT BookSharing/views/default/home.html: 1
[2013-11-10 13:31:42] EDIT BookSharing/views/default/home.html: -1
[2013-11-10 13:34:31] EDIT BookSharing/models/db.py: 0
[2013-11-10 13:34:38] EDIT BookSharing/models/db.py: 0
[2013-11-10 13:38:59] EDIT BookSharing/views/default/library.html: 4
[2013-11-10 13:39:47] EDIT BookSharing/views/default/library.html: 17
[2013-11-10 13:48:30] EDIT BookSharing/models/db.py: 0
[2013-11-10 14:07:07] EDIT BookSharing/controllers/default.py: 2
[2013-11-10 14:08:26] EDIT BookSharing/views/default/test.html: 0
[2013-11-10 14:17:55] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 14:19:01] EDIT BookSharing/views/default/library.html: -1
[2013-11-10 14:19:23] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 14:19:41] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:21:43] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 14:22:03] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:23:35] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:23:57] EDIT BookSharing/views/default/library.html: -1
[2013-11-10 14:26:55] EDIT BookSharing/views/default/library.html: -1
[2013-11-10 14:27:07] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:29:42] EDIT BookSharing/views/default/library.html: 3
[2013-11-10 14:30:05] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:35:26] EDIT BookSharing/views/default/library.html: 5
[2013-11-10 14:38:05] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 14:39:18] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:39:57] EDIT BookSharing/views/default/library.html: -1
[2013-11-10 14:40:34] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 14:40:50] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:41:07] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:45:23] EDIT BookSharing/views/default/library.html: 2
[2013-11-10 14:45:43] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:45:51] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:46:09] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:51:29] EDIT BookSharing/views/default/library.html: 26
[2013-11-10 14:51:52] EDIT BookSharing/views/default/library.html: 3
[2013-11-10 14:52:54] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:53:40] EDIT BookSharing/views/default/library.html: 2
[2013-11-10 14:54:37] EDIT BookSharing/views/default/library.html: 0
